edad;sexo;actividad;descripcion_de_actividad;barrio;comuna;fecha;monto
38;hombre;comercio;venta de comidas preparadas;los colores;7;10/5/2018;7000000
66;hombre;comercio;ventas diversas;andalucia la francia;2;14/3/2018;1150000
63;hombre;comercio;comercio;campo valdes;3;22/1/2016;4000000
59;hombre;servicios;belleza y estetica;8 de marzo;9;14/10/2017;6000000
34;hombre;comercio;ventas diversas;vereda la potrera;50;27/8/2018;1500000
60;hombre;produccion;produccion;robledo la campiña;7;29/3/2016;4500000
58;hombre;comercio;venta de alimentos;limonar 1;80;11/1/2017;3000000
56;hombre;comercio;comercio;robledo;7;21/10/2016;5000000
58;hombre;comercio;tiendas - venta de alimentos;picacho;6;18/7/2018;7800000
59;hombre;comercio;comercio;san javier;13;15/4/2016;6890000
66;hombre;comercio;comercio;castilla;5;16/8/2016;2000000
53;mujer;comercio;comercio;granizal;1;12/7/2016;6800000
64;hombre;comercio;venta de alimentos;santa cruz;2;23/6/2017;6000000
29;hombre;comercio;venta de alimentos;la pradera;13;19/7/2017;5000000
50;hombre;comercio;venta de alimentos;santo domingo;1;21/9/2017;7000000
59;hombre;comercio;comercio;san antonio;8;30/6/2016;6890000
70;hombre;comercio;tiendas - venta de alimentos;santa elena;90;13/7/2018;3000000
60;hombre;comercio;comercio;andalucia;2;13/12/2016;6890000
62;hombre;comercio;venta de alimentos;acevedo;2;7/12/2018;7800000
62;hombre;servicios;mantenimiento;caicedo;9;20/6/2017;4000000
22;hombre;servicios;mantenimiento;caicedo;9;25/7/2017;5000000
55;hombre;comercio;comercio;centro;4;14/6/2016;2500000
57;hombre;comercio;ventas diversas;centro;10;20/2/2018;3000000
53;hombre;comercio;comercio;bello oriente;1;22/3/2016;6890000
60;hombre;comercio;venta de alimentos;bello oriente;1;22/9/2017;7300000
47;hombre;comercio;venta de comidas preparadas;manrique;4;26/1/2018;7300000
68;hombre;comercio;venta de alimentos;campo valdes;3;19/5/2017;6000000
67;hombre;comercio;comercio;manrique;4;22/3/2016;4000000
61;hombre;comercio;comercio;el salvador;9;22/3/2016;6894540
57;hombre;produccion;confecciones;doce de octubre;6;14/12/2017;5000000
54;hombre;servicios;servicios;robledo santa maria;7;22/3/2016;6000000
60;hombre;comercio;comercio;centro;4;14/6/2016;3000000
67;hombre;produccion;confecciones;castilla;5;26/1/2018;2500000
64;mujer;comercio;ventas diversas;ayacucho;10;26/10/2018;4000000
68;hombre;comercio;venta de alimentos;carpinelo;1;19/1/2017;1100000
69;hombre;comercio;tiendas - venta de alimentos;carpinelo;1;17/7/2018;2500000
67;hombre;comercio;ventas diversas;villatina;8;12/4/2018;4000000
33;hombre;comercio;tiendas - venta de alimentos;centro;10;24/1/2018;3000000
36;hombre;comercio;ventas diversas;la america;12;9/1/2019;3000000
49;hombre;comercio;venta de comidas preparadas;belen altavista;16;14/3/2018;2000000
62;hombre;comercio;venta de alimentos;belen alta vista;16;13/12/2017;4000000
63;hombre;comercio;venta de alimentos;compromiso;1;20/11/2017;1000000
58;hombre;comercio;comercio;centro;4;28/10/2016;4130000
59;hombre;comercio;ventas diversas;centro;10;21/11/2017;4400000
32;hombre;comercio;comercio;chagualo;4;17/6/2016;5000000
64;hombre;servicios;servicios;santo domingo;6;24/8/2016;6800000
